assessment_id,scenario_name,entry_type,industry_sector,deployment_pattern,maturity_overall,dsgai_risks,highest_inherent_rating,highest_residual_rating,control_count,gap_count,immediate_gap_count,frameworks_mapped,compliance_obligations,date_added,tags
DSGAI-RA-browser-productivity-assistant,Browser-based productivity assistant reading page DOM and user docs,synthetic_template,cross_sector,browser_endpoint_assistant,Developing,DSGAI01|DSGAI03|DSGAI11|DSGAI14|DSGAI15|DSGAI16|DSGAI21,Critical,High,5,3,1,ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|CCPA|SOC 2,2026-05-18,browser-assistant|endpoint|dlp|overreach|dsgai16
DSGAI-RA-clinical-decision-support-rag,Clinical-decision-support RAG over EHR notes and clinical guidelines,synthetic_template,healthcare,decision_support,Managed,DSGAI01|DSGAI08|DSGAI11|DSGAI13|DSGAI14|DSGAI15|DSGAI18|DSGAI19|DSGAI20|DSGAI21,Critical,High,6,4,1,EU AI Act|HIPAA|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,HIPAA|GDPR|EU AI Act|ISO 27001 certification,2026-05-18,healthcare|decision-support|phi|self-hosted|hitl|regulated
DSGAI-RA-contract-review-assistant,Contract-review assistant over historical contract corpus,synthetic_template,legal_professional_services,internal_knowledge_assistant,Managed,DSGAI01|DSGAI08|DSGAI11|DSGAI13|DSGAI14|DSGAI19|DSGAI20|DSGAI21,Critical,Medium,5,3,0,GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|SOC 2|UK Data Protection Act 2018,2026-05-18,legal|privilege|matter-scoping|rag|professional-services
DSGAI-RA-customer-rag-banking,Customer-facing RAG chatbot over retail-banking knowledge base,synthetic_template,financial_services,customer_facing_chatbot,Managed,DSGAI01|DSGAI02|DSGAI06|DSGAI08|DSGAI11|DSGAI13|DSGAI14|DSGAI17|DSGAI21,Critical,Medium,8,4,0,EU AI Act|GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|CCPA|SOC 2|ISO 27001 certification|EU AI Act|DORA,2026-05-18,rag|customer-facing|financial-services|tool-use|regulated
DSGAI-RA-devops-incident-copilot,DevOps / SRE incident-response copilot with cloud-runtime access,synthetic_template,technology_saas,soc_analyst_copilot,Managed,DSGAI01|DSGAI02|DSGAI06|DSGAI12|DSGAI14|DSGAI17|DSGAI21,Critical,Medium,6,3,0,ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP Agentic Top 10 2026|OWASP LLM Top 10 2025|SOC 2,SOC 2|ISO 27001 certification,2026-05-18,devops|sre|incident-response|agent|blast-radius|hitl
DSGAI-RA-ecommerce-shopping-agent,E-commerce shopping agent with payment-tool surface,synthetic_template,retail_ecommerce,multi_agent_workflow,Developing,DSGAI01|DSGAI06|DSGAI08|DSGAI11|DSGAI12|DSGAI17|DSGAI21,High,Medium,6,3,0,GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|PCI DSS 4.0,GDPR|CCPA|PCI DSS|SOC 2,2026-05-18,ecommerce|agent|checkout|merchant-content|pci
DSGAI-RA-email-triage-assistant,Email triage assistant with attachment OCR,synthetic_template,cross_sector,email_triage,Developing,DSGAI01|DSGAI06|DSGAI08|DSGAI09|DSGAI14|DSGAI15|DSGAI16|DSGAI21,Critical,High,6,3,1,GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|CCPA|SOC 2,2026-05-18,email|endpoint|ocr|indirect-injection|echoleak-class|dsgai16
DSGAI-RA-enterprise-search-assistant,"Enterprise search assistant across SharePoint, Drive, Slack, and Confluence",synthetic_template,cross_sector,search_aggregator,Developing,DSGAI01|DSGAI03|DSGAI07|DSGAI11|DSGAI13|DSGAI15|DSGAI21,Critical,High,5,4,1,ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|CCPA|SOC 2,2026-05-18,enterprise-search|acl-drift|rag|shadow-data|cross-source
DSGAI-RA-financial-research-analyst,Financial research analyst assistant fine-tuned on internal research notes,synthetic_template,financial_services,internal_knowledge_assistant,Managed,DSGAI01|DSGAI08|DSGAI11|DSGAI18|DSGAI20|DSGAI21,Critical,High,5,3,1,EU AI Act|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|EU AI Act|SOC 2,2026-05-18,financial|asset-management|research|fine-tuned|mnpi|ip-protection
DSGAI-RA-hr-employee-chatbot,Internal HR employee-questions chatbot with policy retrieval and limited HRIS lookups,synthetic_template,hr_staffing,internal_knowledge_assistant,Managed,DSGAI01|DSGAI02|DSGAI08|DSGAI11|DSGAI14|DSGAI21,High,Medium,5,3,0,GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|CCPA|SOC 2,2026-05-18,hr|internal-tool|hris|policy-retrieval|regulated-data
